"","as.factor(Predator.lifestage)","as.factor(Type.of.feeding.interaction)","Size","Intercept","Slope","RSquared","PValue","FStat","Note"
"1","adult","piscivorous",17700,7.0051761355437,0.28540920748892,0.0762549666793182,3.21527852223111e-307,1460.96633985589,NA
"2","adult","planktivorous",158,8.9297727419648,0.802761886290888,0.224199133583999,3.31771921399377e-10,45.0825287172977,NA
"3","adult","predacious",7931,7.72830989158596,0.321994355406025,0.146129065719437,2.36661210564494e-274,1356.94671825977,NA
"4","adult","predacious/piscivorous",161,4.78378800257579,0.531028610582127,0.341154098535761,4.19117303972455e-16,82.3310906945516,NA
"5","juvenile","piscivorous",3029,8.72126450880204,0.22348012450817,0.0715818776775045,8.16786748011611e-51,233.384440178496,NA
"6","juvenile","planktivorous",2,NA,NA,NA,NA,NA,"Not enough data"
"7","juvenile","predacious",2102,7.13508760327202,0.932339687360757,0.628987013196308,0,3560.1792246996,NA
"8","larva","planktivorous",1025,-2.02432589747292,0.204221090759678,0.0876722735852069,3.4540943793266e-22,98.3075854003907,NA
"9","larva","predacious",1212,1.43204943227201,0.323614384510348,0.114146688218642,9.61358023700854e-34,155.91463158479,NA
"10","larva / juvenile","insectivorous",32,0.946030011005037,0.384249046154572,0.125577629410638,0.0465944025225441,4.3083628793485,NA
"11","larva / juvenile","piscivorous",11,4.96732009411791,0.652630804441673,0.502262057547569,0.0146301686798566,9.08180416316188,NA
"12","larva / juvenile","planktivorous",120,5.08312949598501,0.537539976546299,0.2383099678989,1.55071505486178e-08,36.918661170477,NA
"13","larva / juvenile","predacious",487,3.60345069079231,0.512543148452049,0.423997091277262,4.43552228318744e-60,357.009636853167,NA
"14","postlarva","piscivorous",33,-2.52746573405741,0.106773528674382,0.0389698693052271,0.270820006991041,1.25705314524184,NA
"15","postlarva","predacious",72,-1.61375195212254,0.15403834606651,0.109207422360888,0.00458060708606845,8.58170550266892,NA
"16","postlarva/juvenile","piscivorous",2,NA,NA,NA,NA,NA,"Not enough data"
"17","postlarva/juvenile","planktivorous",264,6.81310614810302,0.675479706794872,0.231238785388307,1.10590667174297e-16,78.8080363840131,NA
"18","postlarva/juvenile","predacious",590,1.66714590677881,0.21164969664339,0.14416882005629,1.1362362584301e-21,99.0513879135297,NA
